HubId,StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
106,301,QBTH 135,Siêu thị Coop Mart,Trụ dừng,Quận Bình Thạnh,Quốc lộ 13,106.71241,10.810791,"05, 08, 14, 146, 19, 24, 43, 45, 60-3, 64, 67, 93"
107,302,QBTH 122,Đài Liệt sĩ,Biển treo,Quận Bình Thạnh,Xô Viết Nghệ Tĩnh,106.711965,10.808831,"05, 08, 14, 146, 19, 24, 44, 45, 60-3, 67, 91, 93"
108,303,QBTH 137,Cổng ra - Bến xe Miền Đông 2,Trụ dừng,Quận Bình Thạnh,Quốc lộ 13,106.712608,10.81232,"08, 146, 24, 45, 64, 67, 93"
109,304,QTD 198,Trường TH Bình Triệu,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.71434,10.829247,"05, 19, 91"
110,305,QBTH 138,Cổng ra - Bến xe Miền Đông 1,Trụ dừng,Quận Bình Thạnh,Quốc lộ 13,106.712791,10.813853,"05, 08, 146, 43, 45, 60-3, 64, 67, 91, 93"
111,307,QTD 203,Cân Nhơn Hòa,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.718307,10.844687,"05, 19, 91"
112,314,QTD 205,Ngã 3 Đường Hiệp Bình,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.721222,10.852921,"05, 19, 89"
113,315,QTD 159,Ngã ba mũi tàu đường Gò Dưa ,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.727425,10.86689,"05, 19, 29, 33, 60-1, 60-5, 89"
114,318,QTD 209,Ngã 4 Bình Phước,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.724792,10.863845,"05, 19, 89, 91"
115,320,QTD 160,Chợ Đầu Mối,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.730198,10.86831,"05, 19, 29, 33, 60-1, 60-5, 89"
116,334,QTD 112,Big C,Trụ dừng,Quận Thủ Đức,Quốc lộ 1K,106.774583,10.887349,"05, 61-1"
117,339,QTD 187,Cầu vượt Linh Xuân,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.762095,10.874474,"05, 19, 33, 60-1"
118,341,QTD 188,Giày Thái Bình-Bình Đường,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.758689,10.875454,"05, 19, 33, 60-1"
119,342,QTD 190,Bến xe Lam Hồng,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.755631,10.876049,"05, 19, 33, 60-1"
120,347,QTD 195,Chợ đầu mối nông sản Thủ Đức,Nhà chờ,Quận Thủ Đức,Quốc lộ 1,106.729158,10.86812,"05, 19, 29, 33, 60-1, 60-5, 89"
121,349,QTD 214,Ngã 4 Bình Phước,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.72451,10.863809,"05, 19, 89, 91"
122,355,QTD 218,Ngã 3 Đường Hiệp Bình,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.720719,10.852579,"05, 19, 89"
123,358,QTD 220,Cân Nhơn Hòa,Trụ dừng,Quận Thủ Đức,Quốc lộ 13,106.718086,10.844473,"05, 19, 91"
124,360,QTD 225,UBND P.Hiệp Bình Chánh,Nhà chờ,Quận Thủ Đức,Quốc lộ 13,106.714027,10.830039,"05, 19, 91"
125,361,QBTH 038,Cổng vào-Bến xe Miền Đông,Nhà chờ,Quận Bình Thạnh,Đinh Bộ Lĩnh,106.711257,10.816661,"05, 08, 14, 146, 19, 43, 60-3, 91, 93"
