StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
2656,QTP 078,Trạm Đường Số 27,Trụ dừng,Quận Tân Phú,Tân Kỳ Tân Quý,106.628487,10.802817,"32, 41, 69"
2659,QTP 079,Trạm cây xăng Sài Gòn Petro,Ô sơn,Quận Tân Phú,Tân Kỳ Tân Quý,106.625923,10.802044,"32, 41, 69"
2658,QTP 080,Showroom otô,Trụ dừng,Quận Tân Phú,Tân Kỳ Tân Quý,106.62336,10.801045,"32, 69"
2660,QTP 081,Trạm Nhà Thờ Họ Tộc Nguyễn,Trụ dừng,Quận Tân Phú,Tân Kỳ Tân Quý,106.620499,10.799963,"32, 69"
2663,QTP 094,Trạm Đầu Tân Quý,Trụ dừng,Quận Tân Phú,Tân Quý,106.619591,10.79887,32
2661,QTP 095,Trạm UB phường Tân Quý,Trụ dừng,Quận Tân Phú,Tân Quý,106.619896,10.796547,32
2665,QTP 096,Trạm Gò Dầu,Trụ dừng,Quận Tân Phú,Tân Quý,106.620316,10.795079,"32, 69"
2662,QTP 097,Tiệm cửa sắt,Trụ dừng,Quận Tân Phú,Tân Quý,106.620468,10.792974,"32, 69"
2664,QTP 098,Trạm Y tế phường Tân Quý,Trụ dừng,Quận Tân Phú,Tân Quý,106.620735,10.791017,"32, 69"
2666,QTP 165,Trường GTVT,Trụ dừng,Quận Tân Phú,Văn Cao,106.621998,10.78641,"32, 41"
1813,QTP 161,Phạm Văn Xảo,Trụ dừng,Quận Tân Phú,Nguyễn Sơn,106.623253,10.78386,32
1816,QTP 162,Chợ Phường 18,Trụ dừng,Quận Tân Phú,Nguyễn Sơn,106.625962,10.782979,32
2668,QTP 170,Trần Thủ Độ,Trụ dừng,Quận Tân Phú,Lê Khôi,106.628644,10.781904,32
2672,QTP 169,Lê Cao Lãng,Ô sơn,Quận Tân Phú,Lê Khôi,106.627657,10.778732,32
2674,QTP 132,Cuối Tô Hiệu,Trụ dừng,Quận Tân Phú,Tô Hiệu,106.628135,10.77547,32
2667,QTP 133,Đầu Tô Hiệu,Trụ dừng,Quận Tân Phú,Tô Hiệu,106.627271,10.772919,32
2669,QTPT224,Trung Tâm Anh Ngữ,Trụ dừng,Quận Tân Phú,Lũy Bán Bích,106.6316,10.768888,32
2670,QTP 196,Trạm Xưởng May Việt Đại,Trụ dừng,Quận Tân Phú,Lũy Bán Bích,106.631799,10.766226,32
2673,QTPT226,Công ty Dệt May Sài Gòn,Trụ dừng,Quận Tân Phú,Lũy Bán Bích,106.632217,10.761895,32
2671,QTP 198,Cầu Tân Hóa,Trụ dừng,Quận Tân Phú,Lũy Bán Bích,106.633161,10.759602,32
7576,Q6 100,Cầu Ông Buông,Trụ dừng,Quận 6,Tân Hóa,106.636466,10.756171,32
2677,Q12 100,Trường Nguyễn Du,Nhà chờ,Quận 12,Quốc lộ 1A,106.632347,10.852583,"33, 60-1, 60-5, 61-3, 62"
2675,Q12 101,Bảo vệ Nam Long Hải,Trụ dừng,Quận 12,Quốc lộ 1A,106.634679,10.853806,"33, 60-5, 61-3, 62"
2676,Q12 102,Ngã tư Đình,Ô sơn,Quận 12,Quốc lộ 1A,106.639832,10.856667,"33, 60-1, 60-5, 61-3, 62"
2678,Q12 103,Cây xăng Năng lượng,Trụ dừng,Quận 12,Quốc lộ 1A,106.644233,10.858953,"33, 60-1, 60-5, 61-3, 62"
2680,Q12 104,Cao su Vina,Trụ dừng,Quận 12,Quốc lộ 1A,106.647781,10.86097,"33, 60-1, 60-5, 61-3, 62"
2356,Q12 113,Cầu Ga nhỏ,Ô sơn,Quận 12,Quốc lộ 1A,106.68201,10.861171,"33, 60-1, 60-5, 61-3"
2359,Q12 114,An Phú Đông,Nhà chờ,Quận 12,Quốc lộ 1A,106.686655,10.860897,"33, 60-1, 60-5, 61-3"
2358,Q12 115,Công ty Vĩnh Hưng,Trụ dừng,Quận 12,Quốc lộ 1A,106.689178,10.86075,"33, 60-5, 61-3"
2360,Q12 116,Đài liệt sĩ An Phú Đông,Ô sơn,Quận 12,Quốc lộ 1A,106.692331,10.860386,"33, 60-1, 60-5, 61-3"
2361,Q12 117,ĐH Nguyễn Tất Thành,Nhà chờ,Quận 12,Quốc lộ 1A,106.694514,10.860365,"33, 60-5, 61-3"
2364,Q12 118,Công ty đá Ngọc Ngân,Trụ dừng,Quận 12,Quốc lộ 1A,106.700699,10.859675,"33, 60-1, 60-5, 61-3"
2362,Q12 119,Tu viện Khánh An,Trụ dừng,Quận 12,Quốc lộ 1A,106.706048,10.859017,"33, 60-1, 60-5, 61-3"
2363,Q12 120,Bãi đậu xe kho hàng,Nhà chờ,Quận 12,Quốc lộ 1A,106.708912,10.858616,"33, 60-5, 61-3"
2368,Q12 121,Aone,Trụ dừng,Quận 12,Quốc lộ 1A,106.713504,10.859659,"33, 60-1, 60-5, 61-3"
2365,QTD 158,Ngã 4 Bình Phước,Nhà chờ,Quận Thủ Đức,Quốc lộ 1,106.720451,10.863315,"33, 60-1, 60-5, 61-3"
7657,QTD 274,Đại học Quốc tế,Nhà chờ,Quận Thủ Đức,Lê Quý Đôn,106.802731,10.878182,"33, 53, 99"
7642,QTD 261,Hồ Đá ,Nhà chờ,Quận Thủ Đức,Nguyễn Du,106.8,10.883092,"33, 53, 99"
7638,QTD 263,Nhà Khách ĐHQG,Nhà chờ,Quận Thủ Đức,Nguyễn Du,106.795558,10.880864,"33, 53, 99"
7628,QTD 265,Viện Tài nguyên môi trường,Nhà chờ,Quận Thủ Đức,Trục chính số 7,106.787013,10.879984,"33, 53, 99"
7625,QTD 266,KTX Khu B ĐHQG,Nhà chờ,Quận Thủ Đức,Trục chính sô 7,106.782871,10.88196,"33, 53, 99"
7639,QTD 268,KTX Khu B ĐHQG,Nhà chờ,Quận Thủ Đức,Đường Tiêu biểu số 3,106.779116,10.883203,"33, 53, 99"
4112,BX90,Bến Xe Buýt ÐH Quốc Gia,Bến xe,Quận Thủ Đức,Đường nội bộ Đại học Quốc gia,106.77871704101562,10.884156227111816,"33, 53, 99"
7640,QTD 269 ,KTX Khu B ĐHQG,Nhà chờ,Quận Thủ Đức,Đường Tiêu biểu số 3,106.778483,10.883487,"33, 99"
7626,QTD 267,KTX Khu B ĐHQG,Nhà chờ,Quận Thủ Đức,Trục chính số 7,106.78233,10.881686,"33, 53, 99"
7627,QTD 264,Viện Tài nguyên môi trường,Nhà chờ,Quận Thủ Đức,Trục chính số 7,106.78719,10.879805,"33, 53, 99"
7637,QTD 262 ,Nhà khách ĐHQG,Nhà chờ,Quận Thủ Đức,Nguyễn Du,106.795521,10.880685,"33, 53, 99"
7641,QTD 260 ,Hồ Đá ,Nhà chờ,Quận Thủ Đức,Nguyễn Du,106.800145,10.882966,"33, 53, 99"
7656,QTD 273,Đại học Quốc tế,Nhà chờ,Quận Thủ Đức,Lê Quý Đôn,106.803004,10.876792,"33, 50, 53, 99"
2348,QTD 196,Cầu Bình Phước,Trụ dừng,Quận Thủ Đức,Quốc lộ 1,106.719894,10.863451,"33, 60-1, 60-5, 61-3"
2345,Q12 061,Aone,Ô sơn,Quận 12,Quốc lộ 1A,106.713096,10.85997,"33, 60-1, 60-5, 61-3"
2349,Q12 062,Công ty EUROPA,Nhà chờ,Quận 12,Quốc lộ 1A,106.707727,10.859148,"33, 60-1, 60-5, 61-3"
2347,Q12 063,Tu viện Khánh An,Trụ dừng,Quận 12,Quốc lộ 1A,106.704948,10.859496,"33, 60-5, 61-3"
2350,Q12 064,Công ty Mai Linh,Trụ dừng,Quận 12,Quốc lộ 1A,106.701086,10.860007,"33, 60-1, 60-5, 61-3"
2351,Q12 065,Đình An Phú Đông,Biển treo,Quận 12,Quốc lộ 1A,106.695453,10.86065,"33, 60-1, 60-5, 61-3"
2353,Q12 066,Đài Liệt sĩ An Phú Đông,Nhà chờ,Quận 12,Quốc lộ 1A,106.69224,10.860876,"33, 60-5, 61-3"
2352,Q12 067,Công ty Hồng Mã,Trụ dừng,Quận 12,Quốc lộ 1A,106.689413,10.86104,"33, 60-1, 60-5, 61-3"
2355,Q12 068,Phường An Phú Đông,Trụ dừng,Quận 12,Quốc lộ 1A,106.685175,10.861324,"33, 60-1, 60-5, 61-3"
2357,Q12 069,Cầu Ga Nhỏ,Trụ dừng,Quận 12,Quốc lộ 1A,106.682321,10.861503,"33, 60-5, 61-3"
2354,Q12 070,Bến xe Ngã tư Ga,Nhà chờ,Quận 12,Quốc lộ 1A,106.679354,10.861725,"33, 58, 60-1, 60-5, 61-3"
2775,Q12 078,Cao su Vina,Trụ dừng,Quận 12,Quốc lộ 1A,106.648536,10.861767,"33, 60-1, 60-5, 61-3, 62"
2776,Q12 079,Cây xăng Trung Tín,Trụ dừng,Quận 12,Quốc lộ 1A,106.645682,10.860302,"33, 60-1, 60-5, 61-3, 62"
2777,Q12 080,Trạm điện Hóc Môn,Trụ dừng,Quận 12,Quốc lộ 1A,106.640918,10.857668,"33, 60-1, 60-5, 61-3, 62"
2778,Q12 081,Ngã tư Đình,Trụ dừng,Quận 12,Quốc lộ 1A,106.638172,10.856256,"33, 60-1, 60-5, 61-3, 62"
2781,Q12 083,Trường Nguyễn Du,Nhà chờ,Quận 12,Quốc lộ 1A,106.632469,10.853048,"33, 60-1, 60-5, 61-3, 62"
2780,Q12 084,Công viên Phần mềm Quang Trung,Nhà chờ,Quận 12,Quốc lộ 1A,106.630935,10.852242,"33, 61-3, 62"
7268,Q1 182,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Hàm Nghi,106.70086,10.77079,"34, 39"
2118,Q7 067,Sân bóng đá CLB cảng SG,Trụ dừng,Quận 7,Đường vòng cầu Tân Thuận 2,106.72242,10.752435,"34, 68"
2117,Q7 066,Trường mầm non Tân Thuận Tây,Trụ dừng,Quận 7,Nguyễn Thị Xíu,106.720929,10.753436,34
2789,Q7 046,Cư xá Ngân hàng,Trụ dừng,Quận 7,Trần Xuân Soạn,106.718783,10.752703,34
2067,Q7 047,Nhà thờ Thuận Phát,Trụ dừng,Quận 7,Trần Xuân Soạn,106.715049,10.751902,34
2069,Q7 048,Miếu Bà Cố,Trụ dừng,Quận 7,Trần Xuân Soạn,106.712512,10.751886,34
2068,Q7 049,Bế Văn Cấm,Trụ dừng,Quận 7,Trần Xuân Soạn,106.709207,10.751855,34
2070,Q7 050,Ủy ban Phường Tân Kiểng,Trụ dừng,Quận 7,Trần Xuân Soạn,106.706659,10.75185,34
2807,Q7 135,Trung tâm y tế Tân Quy,Trụ dừng,Quận 7,Đường số 15,106.704994,10.744924,34
2806,Q7 136,Chợ Tân Quy,Trụ dừng,Quận 7,Đường số 15,106.706627,10.7454,34
2809,Q7 137,Đường số 10,Trụ dừng,Quận 7,Đường số 15,106.709835,10.745478,34
2808,Q7 143,trường Lê Thánh Tôn,Biển treo,Quận 7,Đường số 17,106.710463,10.744898,34
2811,Q7 142,Chợ Chiều,Trụ dừng,Quận 7,Đường số 17,106.713429,10.744914,34
2810,Q7 146,Đường Số 43,Trụ dừng,Quận 7,Mai Văn Vĩnh,106.713649,10.74328,34
1997,Q7 147,Mai Văn Vĩnh,Trụ dừng,Quận 7,Mai Văn Vĩnh,106.713615,10.739471,34
2812,HBC 160,Ấp 4A,Trụ dừng,Huyện Bình Chánh,Phạm Hùng,106.676742,10.729392,34
